id,imdb_id,budget,revenue,genre_names,original_title,runtime,status,countries,title,original_language,avg_vote,vote_count,popularity,genres,year,90s,00s,10s,Drama,Thriller,Romance,Adventure,Action,History,Comedy,Mystery,Fantasy,Animation,Family,Crime,War,Science Fiction,Horror,Music,Western,TV Movie,profit,profit_margin
1902,tt0125659,2900000.0,377967.0,"['Drama', 'Thriller']",Abre los ojos,117.0,Released,"['Spain', 'France', 'Italy']",Open Your Eyes,Spanish,7.5,483,12.269,"[18, 53]",1997,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2522033.0,-667.3
1913,tt0369702,12806000.0,43731621.0,['Drama'],Mar adentro,125.0,Released,"['Spain', 'France', 'Italy']",The Sea Inside,Spanish,7.6,498,9.736,[18],2004,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30925621.0,70.7
1958,tt0283832,8000000.0,42426583.0,"['Comedy', 'Thriller', 'Music', 'Crime', 'Mystery']",8 femmes,111.0,Released,"['France', 'Italy']",8 Women,French,7.0,509,9.183,"[35, 80, 10402, 9648, 53]",2002,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,34426583.0,81.1
1969,tt0416496,35000000.0,18381890.0,"['Action', 'Comedy', 'Western', 'Crime']",Bandidas,93.0,Released,"['United States of America', 'France', 'Mexico']",Bandidas,Spanish,5.9,663,11.348,"[28, 35, 37, 80]",2006,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,-16618110.0,-90.4
2009,tt1032846,852510.0,10174839.0,['Drama'],"4 luni, 3 săptămîni și 2 zile",114.0,Released,"['Belgium', 'Romania']","4 Months, 3 Weeks and 2 Days",Romanian,7.6,348,8.408,[18],2007,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9322329.0,91.6
2011,tt0808417,7300000.0,22783978.0,"['Animation', 'Drama']",Persepolis,95.0,Released,"['France', 'United States of America']",Persepolis,French,7.9,1103,9.472,"[16, 18]",2007,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,15483978.0,68.0
2013,tt0401383,14000000.0,19780116.0,['Drama'],Le scaphandre et le papillon,112.0,Released,"['France', 'United States of America']",The Diving Bell and the Butterfly,French,7.6,650,13.222,[18],2007,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5780116.0,29.2
2016,tt0444182,14500000.0,22963701.0,"['Drama', 'History', 'War']",Indigènes,128.0,Released,"['Algeria', 'France', 'Morocco', 'Belgium']",Days of Glory,French,6.8,224,7.186,"[18, 36, 10752]",2006,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,8463701.0,36.9
2029,tt0274155,,24273604.0,['Comedy'],Tanguy,108.0,Released,['France'],Tanguy,French,6.1,279,7.033,[35],2001,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,
2061,tt0117407,,,"['Action', 'Crime', 'Drama', 'Thriller']",Pusher,105.0,Released,['Denmark'],Pusher,Danish,6.9,352,9.51,"[28, 80, 18, 53]",1996,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,,
2110,tt0281364,15300000.0,10366360.0,"['Drama', 'Action', 'Comedy']",WASABI,94.0,Released,['France'],Wasabi,French,6.4,667,16.632,"[28, 35, 18]",2001,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,-4933640.0,-47.6
2117,tt0426578,,10804315.0,"['Drama', 'History']",Sophie Scholl – Die letzten Tage,117.0,Released,['Germany'],Sophie Scholl: The Final Days,German,7.2,248,5.712999999999999,"[18, 36]",2005,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,
2266,tt0401711,13000000.0,17471727.0,"['Drama', 'Romance']","Paris, je t'aime",120.0,Released,['France'],"Paris, Je T'Aime",French,6.8,434,11.114,"[18, 10749]",2006,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4471727.0,25.6
2269,tt0409904,4200000.0,42918532.0,"['Fantasy', 'Science Fiction']",Дневной дозор,132.0,Released,['Russia'],Day Watch,Russian,6.1,294,11.122,"[14, 878]",2006,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,38718532.0,90.2
2330,tt0152930,,,"['Action', 'Comedy']",Taxi,86.0,Released,['France'],Taxi,French,6.6,1409,18.369,"[28, 35]",1998,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,,
2332,tt0183869,,60726164.0,"['Action', 'Comedy']",Taxi 2,82.0,Released,['France'],Taxi 2,French,6.2,992,21.631,"[28, 35]",2000,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,,
2334,tt0295721,14500000.0,65497208.0,"['Action', 'Comedy']",Taxi 3,82.0,Released,['France'],Taxi 3,French,5.6,865,17.33,"[28, 35]",2003,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,50997208.0,77.9
