id,title,original_language,avg_vote,vote_count,popularity,genres,release_date,adult
11010,The Postman,it,8,588,8.537,"[35, 18, 10749]",1994-04-07,False
673,Harry Potter and the Prisoner of Azkaban,en,8,13445,45.088,"[12, 14]",2004-05-31,False
947,Lawrence of Arabia,en,8,1668,23.919,"[12, 18, 36, 10752]",1962-12-10,False
5924,Papillon,en,8,994,17.515,"[80, 18]",1973-12-13,False
10515,Castle in the Sky,ja,8,2170,28.667,"[12, 14, 16, 28, 10751, 10749]",1986-08-02,False
316029,The Greatest Showman,en,8,6114,28.399,[18],2017-12-20,False
1578,Raging Bull,en,8,2314,23.886,[18],1980-11-14,False
25364,Ace in the Hole,en,8,279,10.728,[18],1951-06-29,False
1675,Day for Night,fr,8,277,8.69,"[35, 18]",1973-05-24,False
16,Dancer in the Dark,en,8,954,23.963,"[80, 18]",2000-05-17,False
223,Rebecca,en,8,806,17.468,"[18, 9648]",1940-03-23,False
24,Kill Bill: Vol. 1,en,8,11256,40.459,"[28, 80]",2003-10-10,False
369557,Sing Street,en,8,1399,14.454,"[35, 18, 10402, 10749]",2016-03-11,False
25376,The Secret in Their Eyes,es,8,1361,14.305,"[80, 18, 9648, 10749]",2009-08-13,False
379170,Sherlock: The Abominable Bride,en,7.9,1652,14.496,"[80, 18, 9648]",2016-01-01,False
142061,"Batman: The Dark Knight Returns, Part 2",en,7.9,816,20.175,"[28, 16, 9648]",2013-01-18,False
76203,12 Years a Slave,en,7.9,7689,22.47,"[18, 36]",2013-10-18,False
20453,3 Idiots,hi,7.9,1339,18.992,"[35, 18]",2009-12-23,False
152532,Dallas Buyers Club,en,7.9,5627,20.52,"[18, 36]",2013-11-17,False
829,Chinatown,en,7.9,2125,24.734,"[80, 18, 9648, 53]",1974-06-20,False
113833,The Normal Heart,en,7.9,626,9.153,[18],2014-05-25,False
4348,Pride & Prejudice,en,7.9,4076,27.125,"[18, 10749]",2005-09-16,False
234,The Cabinet of Dr. Caligari,de,7.9,696,13.304,"[80, 18, 27, 53]",1920-02-27,False
5544,Hiroshima Mon Amour,fr,7.9,346,9.401,"[18, 36, 10749]",1959-06-10,False
5511,Le Samouraï,fr,7.9,450,13.047,"[80, 53]",1967-10-25,False
70,Million Dollar Baby,en,7.9,5762,23.92,[18],2004-12-15,False
