id,title,original_language,avg_vote,vote_count,popularity,genres,release_date
575452,The Traitor,it,7.8,525,34.864000000000004,"[80, 18]",2019-05-23
29458,One Hundred Steps,it,7.8,371,6.678999999999999,"[80, 18]",2000-08-31
10775,Infernal Affairs,cn,7.8,851,17.768,"[28, 80, 18, 9648, 53]",2002-12-12
269,Breathless,fr,7.8,855,13.850999999999999,"[18, 80]",1960-03-16
11902,Underground,sr,7.8,321,12.373,"[35, 18, 10752]",1995-04-11
110160,Laurence Anyways,fr,7.8,452,9.142000000000001,"[18, 10749]",2012-05-18
8416,The Conformist,it,7.8,311,10.405999999999999,[18],1970-10-21
265169,Winter Sleep,tr,7.8,278,11.213,[18],2014-06-13
14069,The Girl Who Leapt Through Time,ja,7.8,1089,19.805,"[14, 16, 18, 878]",2006-07-15
320007,Victoria,de,7.8,696,9.117,"[80, 18, 53]",2015-06-11
776,The Rules of the Game,fr,7.8,260,8.46,"[35, 18, 10749]",1939-06-08
238628,Tangerines,et,7.8,229,7.225,"[18, 10752]",2013-10-16
137182,The Broken Circle Breakdown,nl,7.8,687,6.235,[18],2012-10-09
10835,The Killer,cn,7.8,369,13.530999999999999,"[28, 80, 18, 53]",1989-07-06
30018,Mother,ko,7.8,509,14.292,"[80, 18, 9648, 53]",2009-05-28
86837,Amour,fr,7.8,889,11.353,"[18, 10749]",2012-07-01
47931,Elite Squad: The Enemy Within,pt,7.8,985,12.322000000000001,"[18, 28, 80]",2010-10-08
11220,Fallen Angels,cn,7.8,270,12.39,"[28, 18, 10749]",1995-09-06
309,The Celebration,da,7.8,464,11.41,[18],1998-06-19
4977,Paprika,ja,7.8,1062,15.252,"[16, 18, 9648, 878, 53]",2006-10-01
22843,Evangelion: 2.0 You Can (Not) Advance,ja,7.8,269,9.559,"[28, 16, 18, 878]",2009-06-26
297222,PK,hi,7.8,512,14.417,"[35, 18]",2014-12-18
52345,Lisbela and the Prisoner,pt,7.8,233,1.195,"[35, 10749]",2003-08-22
336808,Embrace of the Serpent,es,7.8,260,9.763,"[18, 12]",2015-05-25
49797,I Saw the Devil,ko,7.8,1163,21.68,"[53, 27]",2010-08-12
1075,"Black Cat, White Cat",sr,7.8,364,10.261,"[35, 10749]",1998-06-01
149870,The Wind Rises,ja,7.8,1514,20.239,[16],2013-07-20
11621,Porco Rosso,ja,7.8,1574,20.187,"[12, 16, 35]",1992-07-18
4480,Jean de Florette,fr,7.7,270,8.69,[18],1986-08-27
568160,Weathering with You,ja,7.7,225,17.403,"[16, 10749, 14, 18, 12]",2019-07-19
24653,The Consequences of Love,it,7.7,339,8.372,"[80, 18]",2004-09-24
18329,Happy Together,zh,7.7,228,11.579,"[18, 10749]",1997-05-17
1600,The Double Life of Véronique,fr,7.7,342,10.317,"[18, 53]",1991-05-15
1093,Elevator to the Gallows,fr,7.7,239,9.052999999999999,"[80, 18, 53]",1958-01-29
2433,The Young Girls of Rochefort,fr,7.7,258,7.216,"[35, 18, 10749]",1967-03-08
42801,"Yesterday, Today and Tomorrow",it,7.7,206,10.105,"[35, 18, 10749]",1963-12-21
426426,Roma,es,7.7,2536,16.602999999999998,[18],2018-08-25
19026,Azur & Asmar: The Princes' Quest,fr,7.7,327,9.369,"[16, 10751]",2006-10-25
11421,C.R.A.Z.Y.,fr,7.7,257,8.097000000000001,[18],2005-05-27
126319,Ernest & Celestine,fr,7.7,301,14.710999999999999,"[16, 35, 18, 10751]",2012-12-12
12548,I Vitelloni,it,7.7,309,7.2589999999999995,"[35, 18]",1953-08-26
11658,Tae Guk Gi: The Brotherhood of War,ko,7.7,260,9.957,"[28, 12, 18, 36, 10752]",2004-02-05
12516,Dreams,ja,7.7,215,6.996,"[18, 14]",1990-05-11
1040,The Leopard,it,7.7,365,9.988,[18],1963-03-28
1417,Pan's Labyrinth,es,7.7,6955,29.866999999999997,"[18, 14, 10752]",2006-08-25
8832,Il Divo,it,7.7,571,8.215,[18],2008-05-28
653,Nosferatu,de,7.7,960,13.989,"[18, 14, 27]",1922-02-17
16306,Fantastic Planet,fr,7.7,355,12.13,"[16, 878]",1973-12-01
11482,The Tenant,fr,7.7,561,6.527,"[27, 53, 14]",1976-05-26
4497,Viridiana,es,7.7,239,10.321,[18],1961-05-17
10757,Kabhi Khushi Kabhie Gham,hi,7.7,228,11.165,"[35, 18]",2001-12-14
2786,Pierrot le Fou,fr,7.7,417,13.017000000000001,"[18, 53]",1965-08-29
484751,Through The Fire,fr,7.7,352,7.452999999999999,[18],2018-11-28
9343,Fitzcarraldo,de,7.7,340,8.97,"[28, 12, 18]",1982-03-04
544510,"Cyrano, My Love",fr,7.7,230,7.551,"[36, 35]",2019-01-09
227932,My Mom is a Character 2,pt,7.7,346,7.465,[35],2016-12-22
484468,The Wolf's Call,fr,7.7,886,25.421999999999997,"[28, 53]",2019-02-20
396535,Train to Busan,ko,7.7,3351,33.008,"[28, 27, 53]",2016-07-20
8073,Band of Outsiders,fr,7.7,259,7.782,"[80, 18, 10749]",1964-08-05
5528,The Chorus,fr,7.7,1480,19.684,[18],2004-03-17
18079,Nine Queens,es,7.7,335,6.7989999999999995,[80],2000-08-31
364137,All Three of Us,fr,7.7,320,6.542999999999999,"[35, 18]",2015-11-04
347201,Boruto: Naruto the Movie,ja,7.7,370,15.751,"[28, 16, 35]",2015-08-07
38251,Mediterraneo,it,7.7,540,9.167,"[35, 10749, 10752]",1991-01-31
13386,I'm Starting from Three,it,7.7,342,6.457000000000001,[35],1981-03-05
12429,Ponyo,ja,7.7,2133,40.184,"[16, 10751]",2008-07-19
11299,Cowboy Bebop: The Movie,ja,7.7,379,15.415999999999999,"[28, 16, 878]",2001-09-01
5910,Fireworks,ja,7.7,285,7.376,"[80, 18]",1997-09-03
8342,No Man's Land,bs,7.7,229,9.089,"[28, 18, 36]",2001-09-08
4593,The Discreet Charm of the Bourgeoisie,fr,7.7,363,11.632,[35],1972-09-15
284427,Who Am I,de,7.7,798,17.822,[53],2014-09-25
111083,The Body,es,7.7,655,10.517000000000001,"[53, 9648]",2012-10-04
221731,Rurouni Kenshin: Kyoto Inferno,ja,7.7,200,19.762999999999998,"[28, 12, 18]",2014-08-01
14756,Ip Man,cn,7.7,2209,20.27,"[28, 18, 36]",2008-12-12
158,Knockin' on Heaven's Door,de,7.7,248,12.357999999999999,"[35, 80]",1997-02-20
41411,The Round Up,fr,7.7,696,10.9,"[18, 36, 10752]",2010-03-10
180299,The Raid 2,id,7.7,1374,19.660999999999998,"[28, 80, 53]",2014-03-27
99,All About My Mother,es,7.7,932,14.084000000000001,"[35, 18]",1999-04-19
11657,Le Cercle Rouge,fr,7.7,284,10.288,"[18, 53, 80]",1970-10-19
54186,Confessions,ja,7.7,466,9.522,"[18, 9648, 53]",2010-06-04
11190,The Return,ru,7.7,230,9.606,"[18, 9648, 53]",2003-06-25
1567,I Stand Alone,fr,7.6,232,9.501,"[18, 53]",1998-05-16
483184,Dogman,it,7.6,1297,11.217,"[80, 18, 53]",2018-05-17
15137,Evangelion: 1.0 You Are (Not) Alone,ja,7.6,285,9.962,"[16, 878, 28, 18]",2007-09-01
50531,Ask Me If I Am Happy,it,7.6,1083,8.281,"[35, 18]",2000-12-15
5165,L'Avventura,it,7.6,303,8.265,"[18, 9648]",1960-06-29
49992,Lucky and Zorba,it,7.6,415,6.67,[16],1998-12-22
167581,Free Fall,de,7.6,445,15.97,"[18, 10749]",2013-05-27
468284,The Insult,fr,7.6,274,10.94,"[80, 18]",2017-09-14
4291,Kikujiro,ja,7.6,213,10.716,"[35, 18, 10751]",1999-06-05
64,Talk to Her,es,7.6,639,12.527999999999999,"[18, 10749]",2002-03-14
55,Amores Perros,es,7.6,1257,16.137,"[18, 53]",2000-06-16
26280,I Killed My Mother,fr,7.6,705,9.041,[18],2009-06-05
375572,Italian Race,it,7.6,673,11.302,[18],2016-04-07
643,Battleship Potemkin,ru,7.6,573,9.585,"[18, 36]",1925-12-24
74879,Once Upon a Time in Anatolia,tr,7.6,223,8.103,"[80, 18]",2011-09-23
21575,A Prophet,fr,7.6,831,12.135,"[80, 18]",2009-08-26
2013,The Diving Bell and the Butterfly,fr,7.6,650,13.222000000000001,[18],2007-05-23
11782,Hard Boiled,cn,7.6,350,13.295,"[28, 80, 53]",1992-04-16
2000,"Aguirre, the Wrath of God",de,7.6,532,12.61,"[12, 18, 36]",1972-12-29
4024,Last Year at Marienbad,fr,7.6,235,9.631,"[18, 10749]",1961-05-25
1786,Au Revoir les Enfants,fr,7.6,331,10.137,"[18, 10752]",1987-10-06
51608,The Man from Nowhere,ko,7.6,634,16.246,"[28, 53, 80]",2010-08-04
177945,"Like Father, Like Son",ja,7.6,294,8.571,[18],2013-09-28
595975,La Belle Époque,fr,7.6,254,13.114,"[35, 18]",2019-11-06
2009,"4 Months, 3 Weeks and 2 Days",ro,7.6,348,8.408,[18],2007-08-24
9394,They Call Me Trinity,it,7.6,696,12.974,"[28, 35, 37]",1970-12-22
648,Beauty and the Beast,fr,7.6,315,10.102,"[18, 14, 10749]",1946-10-29
18333,Hour of the Wolf,sv,7.6,233,8.369,"[18, 27]",1968-02-19
4481,Manon of the Spring,fr,7.6,245,8.447000000000001,[18],1986-11-19
337703,The Red Turtle,fr,7.6,682,9.945,"[16, 18, 14, 10751]",2016-06-29
7500,Sonatine,ja,7.6,259,8.427,"[28, 80, 53]",1993-04-10
489418,In Safe Hands,es,7.6,236,8.031,[18],2018-12-05
317442,The Last: Naruto the Movie,ja,7.6,362,21.631,"[28, 16, 10749]",2014-12-06
1913,The Sea Inside,es,7.6,498,9.736,[18],2004-09-03
451657,Custody,fr,7.6,343,8.047,"[18, 53]",2018-02-07
37769,The Second Tragic Fantozzi,it,7.6,391,7.5489999999999995,[35],1976-04-15
31417,Eyes Without a Face,fr,7.6,306,9.06,"[18, 27, 53]",1960-01-11
269258,Head Full of Honey,de,7.6,215,11.290999999999999,"[35, 18]",2014-12-25
271706,Big Fish & Begonia,zh,7.6,212,10.474,"[16, 12, 14]",2016-07-08
51739,The Secret World of Arrietty,ja,7.6,1520,27.499000000000002,"[16, 14, 10751]",2010-07-16
7735,The Wave,de,7.6,2019,15.724,"[18, 53]",2008-03-11
586940,I Lost My Body,fr,7.6,558,11.2,"[16, 18, 14]",2019-11-06
439584,I Can Quit Whenever I Want 3: Ad Honorem,it,7.6,636,8.436,"[28, 35]",2017-11-30
12169,The First Day of the Rest of Your Life,fr,7.6,308,6.789,[18],2008-07-23
14282,Ninja Scroll,ja,7.6,238,15.86,"[14, 12, 16]",1993-06-05
100271,A Letter to Momo,ja,7.6,204,7.843,"[35, 14, 16, 18, 10751]",2012-04-21
11906,Suspiria,it,7.6,1458,17.316,[27],1977-02-01
440298,Cold War,pl,7.6,789,12.307,[18],2018-06-08
315846,Our Little Sister,ja,7.6,209,10.464,"[35, 18]",2015-06-13
649,Belle de Jour,fr,7.6,401,11.9,"[18, 10749]",1967-05-24
72478,Suicide Room,pl,7.6,276,6.132000000000001,"[18, 53, 16]",2011-03-04
37181,About Elly,fa,7.6,236,10.569,[18],2009-02-10
63311,The Skin I Live In,es,7.5,1808,10.823,"[18, 27, 9648, 53]",2011-08-17
377273,Aquarius,pt,7.5,271,6.614,[18],2016-09-01
175,The Big Blue,fr,7.5,816,12.414000000000001,"[12, 18, 10749]",1988-05-11
14257,Delusions of Grandeur,fr,7.5,382,20.838,"[35, 36]",1971-04-01
375794,No Manches Frida,es,7.5,231,7.042999999999999,[35],2016-09-02
11344,A Bittersweet Life,ko,7.5,411,13.905999999999999,"[28, 80, 18]",2005-03-31
1902,Open Your Eyes,es,7.5,483,12.269,"[18, 53]",1997-12-19
15472,The Girl with the Dragon Tattoo,sv,7.5,1838,22.430999999999997,"[80, 18, 9648, 53]",2009-02-27
11178,My Sassy Girl,ko,7.5,307,13.508,"[35, 18, 10749]",2001-07-27
244063,Boys,nl,7.5,323,8.182,[18],2014-01-08
109,Three Colors: White,fr,7.5,537,11.747,"[35, 18, 9648]",1994-01-26
